Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	88a56760-05b6-4abc-bbbc-0dc6a9a4f394
Plate Name	2.imp.parpTG
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - full nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - areainum2n Area [µm²]	full nuclei - areainum2n Roundness	full nuclei - areaum2Spot Area [µm²]- Sum per Cell 	full nuclei - %areacoveredbyspots	
2	3	0	33	9	810	690	[782,662,839,719]	-242.37	1246.57					9	619	0.0149937	19	0.00737291	228.546	0.940684	54.8972	24.0202	
2	3	0	8	1	470	30	[444,10,503,52]	626.09	2411.73					1	215	0.00738649	6	0.0030426	174.891	0.9221	19.0677	10.9026	
2	3	0	8	2	1005	132	[985,110,1027,153]	784.66	2381.82					2	105	0.00267413	4	0.00284495	124.694	0.965357	9.31212	7.46799	
2	3	0	8	3	507	141	[485,123,530,160]	636.45	2378.8					3	30	0.000750995	1	0.000739645	119.905	0.943751	2.66061	2.21893	
2	3	0	8	4	275	276	[244,259,298,297]	565.94	2338.33					4	65	0.00149791	3	0.00191693	138.795	0.900718	5.76465	4.15335	
2	3	0	8	5	334	292	[314,273,355,313]	584.93	2333.6					5	84	0.00253986	3	0.00236035	112.721	0.973534	7.4497	6.60897	
2	3	0	8	6	991	499	[970,478,1012,541]	780.05	2269.08					6	215	0.0062382	10	0.00484027	183.227	0.893438	19.0677	10.4066	
2	3	0	8	7	113	615	[92,594,135,639]	518.99	2237.32					7	38	0.00277691	1	0.000681199	130.192	0.905296	3.3701	2.58856	
2	3	0	8	8	499	861	[478,840,521,885]	633.68	2164.35					8	0	0	0	0	139.504	0.918592	0	0	
2	3	0	8	9	876	871	[838,853,895,889]	743.95	2161.16					9	260	0.013081	9	0.00603217	132.321	0.84765	23.0586	17.4263	
2	3	0	8	10	628	870	[613,855,650,883]	672.98	2161.69					10	83	0.00870075	2	0.00290698	61.0166	0.804563	7.36101	12.064	
2	3	0	8	11	190	1054	[163,1031,224,1077]	542.72	2106.69					11	160	0.00337753	8	0.00365965	193.87	0.903702	14.1899	7.3193	
2	3	0	8	12	861	716	[839,693,884,738]	741.42	2207.6					12	106	0.00436333	6	0.00374065	142.254	0.952926	9.40081	6.60848	
2	3	0	8	13	1029	760	[1006,739,1050,785]	791.38	2193.94					13	16	0.000461956	1	0.000639795	138.618	0.915204	1.41899	1.02367	
2	3	0	8	14	603	829	[575,798,634,854]	665.23	2174.63					14	344	0.00664688	11	0.00472103	206.64	0.87606	30.5083	14.7639	
2	3	0	8	15	820	832	[797,810,844,859]	729.93	2172.44					15	117	0.00312278	4	0.00214362	165.49	0.91368	10.3764	6.2701	
2	3	0	2	1	431	165	[410,144,459,188]	-1322.78	2371.61					3	0	0	0	0	142.697	0.922954	0	0	
2	3	0	2	2	463	213	[447,198,480,228]	-1314.01	2357.6					4	0	0	0	0	73.9649	0.957677	0	0	
2	3	0	2	3	137	285	[125,273,148,303]	-1411.63	2335.52					5	169	0.0412047	2	0.00438596	40.4412	0.866674	14.9881	37.0614	
2	3	0	2	4	783	314	[760,288,806,348]	-1219.06	2326.37					6	144	0.00387901	6	0.00282885	188.105	0.881902	12.7709	6.78925	
2	3	0	2	5	131	328	[110,299,152,358]	-1413.07	2323.2					7	43	0.00333467	1	0.000495786	178.881	0.862568	3.81354	2.13188	
2	3	0	2	6	63	325	[44,306,83,345]	-1433.16	2324.2					8	272	0.0104915	8	0.00639488	110.947	0.955251	24.1228	21.7426	
