Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	149f8699-ef32-4688-958a-7871782cfc72
Plate Name	MDAWT24H-1
Measurement	Measurement 2
Evaluation	Evaluation1
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	2	49	132	738	[116,723,152,772]	-1533.85	1815.07					65	145.741	55	269.998	6439.04	2109.61	3029.55	1683.79	37	0.00915193	2	0.00265252	13.2492	0.137038	
5	3	0	2	50	220	734	[186,714,240,760]	-1487.01	1817.88					66	179.402	56	359.878	8277.28	2106.93	3804.4	1811.93	131	0.0196148	6	0.00597015	46.9094	0.364013	
5	3	0	2	51	532	782	[507,757,563,817]	-1294.49	1790.34					68	379.214	58	464.439	9769.92	1895.21	4600.94	2066.68	348	0.0737449	15	0.0115652	124.614	0.749291	
5	3	0	2	52	384	809	[358,794,417,823]	-1382.98	1777.4					69	134.641	59	211.63	6811.43	1768.23	3723.08	1794.92	88	0.0354369	4	0.00676819	31.5117	0.415821	
5	3	0	2	53	415	843	[385,810,444,877]	-1366.8	1754.85					70	246.006	60	705.074	10130.6	2094.62	6905.28	2279.85	311	0.10553	9	0.00457085	111.365	0.441089	
5	3	0	2	54	240	944	[219,926,270,963]	-1469.13	1695.45					71	190.502	61	277.876	9677.8	2299.27	4013.31	1782.88	65	0.0137928	3	0.00386598	23.2757	0.233918	
5	3	0	11	1	53	76	[38,61,70,95]	-1582.22	1568.62					2	96.3254	1	221.298	4613.52	1653.5	2775.04	1629.75	60	0.0108892	2	0.00323625	21.4852	0.271128	
5	3	0	11	2	208	143	[183,108,240,165]	-1489.18	1530.88					3	151.829	2	542.86	5294.25	1814.64	3149.49	1719.54	0	0	0	0	0	0	
5	3	0	11	3	277	172	[259,102,305,209]	-1446.2	1519.63					4	164.004	3	715.816	4914.04	1663.46	2600.38	1558.57	14	0.00119849	1	0.00050025	5.01322	0.0195581	
5	3	0	11	4	159	230	[140,200,175,253]	-1519.72	1476.9					5	109.575	4	328.008	6220.77	1885.01	3203.78	1687.47	20	0.00280894	2	0.00218341	7.16174	0.0609742	
5	3	0	11	5	126	276	[109,261,147,296]	-1537.26	1447.97					6	112.439	5	186.205	4582.48	1664.5	2811.99	1648.43	0	0	0	0	0	0	
5	3	0	11	6	159	317	[139,294,185,339]	-1518.28	1424.49					7	100.622	6	291.841	4850.96	1704.23	2680.28	1604.38	0	0	0	0	0	0	
5	3	0	11	7	96	387	[70,359,127,412]	-1555.83	1382.72					9	121.033	8	430.779	5651.54	1830.43	3115.06	1617.04	82	0.0126195	2	0.00166251	29.3631	0.190353	
5	3	0	11	8	820	417	[782,382,859,470]	-1126.29	1360.09					10	247.438	9	1009.45	6485.95	1910.24	3458.95	1695.11	213	0.0209227	7	0.00248315	76.2726	0.211006	
5	3	0	11	9	371	433	[350,415,388,457]	-1393.29	1354.14					11	121.75	10	289.334	8034.66	1883.65	4010.32	1650.79	57	0.0142068	1	0.00123762	20.411	0.197004	
5	3	0	11	10	325	450	[306,432,344,472]	-1419.3	1345.29					12	122.108	11	274.295	9778.13	2009.38	5066.76	1886.7	126	0.0534779	3	0.00391645	45.119	0.45936	
5	3	0	11	11	297	509	[283,495,313,524]	-1435.78	1309.86					13	75.5564	12	186.563	9087.34	2007.99	4132.82	1890.96	86	0.0446179	1	0.00191939	30.7955	0.460969	
5	3	0	11	12	1005	536	[982,519,1032,554]	-1012.34	1292.98					14	126.047	13	374.917	6560.54	1950.5	3788.15	1744.45	203	0.0515864	8	0.00764088	72.6917	0.541453	
5	3	0	11	13	147	679	[127,662,167,696]	-1526.62	1208.13					15	87.7314	14	250.303	5511.39	1813.95	2897.82	1629.94	84	0.0254369	2	0.00286123	30.0793	0.335593	
5	3	0	11	14	200	695	[173,665,219,719]	-1495.65	1200.1					16	124.256	15	393.896	4757.27	1734.56	3094.14	1706.08	146	0.0527831	3	0.00272727	52.2807	0.370656	
5	3	0	11	15	864	711	[846,690,882,731]	-1096.92	1188.88					17	133.925	16	244.215	9813.13	2185.22	4466.26	1883.34	89	0.0245672	3	0.00439883	31.8698	0.364432	
5	3	0	11	16	249	718	[224,706,274,740]	-1464.19	1183.16					19	167.943	17	167.227	7491.58	1844.14	3828.4	1912.52	70	0.0725188	3	0.00642398	25.0661	0.418593	
5	3	0	11	17	239	735	[225,723,270,754]	-1467.56	1172.88					20	93.8188	18	195.516	6332.34	2800.41	3448.01	1801.29	12	0.00513643	1	0.0018315	4.29705	0.0613762	
5	3	0	11	18	216	755	[198,730,246,784]	-1483.73	1160.29					21	142.161	19	377.782	8461.16	2098.59	4188.63	1773.97	148	0.0467727	5	0.00473934	52.9969	0.39176	
5	3	0	11	19	301	787	[266,764,321,808]	-1438.24	1142.44					22	140.37	20	478.046	6111.57	1801.33	3410.78	1726.34	96	0.0137502	3	0.00224719	34.3764	0.200817	
5	3	0	11	20	356	817	[340,802,370,831]	-1402.04	1125.9					23	90.9541	21	153.977	8595.98	2007.91	4166.08	1995.89	115	0.108057	4	0.00930233	41.18	0.746862	
5	3	0	11	21	211	828	[188,808,237,848]	-1487.21	1119.8					24	135.715	22	328.366	8124.77	1990.54	4220.96	1754.07	150	0.0287024	8	0.0087241	53.7131	0.456807	
5	3	0	11	22	532	842	[500,825,549,863]	-1299.88	1108.71					25	142.877	23	185.131	6856.37	1943.93	3038.85	1775.51	142	0.0650002	7	0.0135397	50.8484	0.767024	
5	3	0	11	23	723	847	[710,832,738,870]	-1181.31	1105.14					26	103.487	24	184.773	8854.34	2735.04	4186.16	2076.31	30	0.0205392	2	0.00387597	10.7426	0.162361	
5	3	0	11	24	617	859	[596,843,633,875]	-1245.75	1100.42					27	67.3204	25	213.062	8895.72	2004.24	3528.22	1755.69	76	0.0226297	3	0.00504202	27.2146	0.356704	
5	3	0	11	25	447	875	[418,861,466,892]	-1349.23	1089.22					28	123.898	26	254.242	9304.75	1956.48	4115.1	1905.02	141	0.0504548	3	0.00422535	50.4903	0.55459	
5	3	0	11	26	731	899	[713,884,767,915]	-1173.64	1075.95					29	107.068	27	287.902	6487.48	1871.96	3406.23	1676.63	28	0.00472842	2	0.00248756	10.0264	0.0972553	
5	3	0	11	27	908	908	[872,895,934,932]	-1074.52	1069.05					30	113.514	28	268.207	6933.69	1781.94	3601.12	1833.67	185	0.0379467	6	0.00801068	66.2461	0.689765	
5	3	0	11	28	781	918	[755,891,807,942]	-1146.46	1065.15					31	117.453	29	343.406	5425.05	1760.59	3619.96	1699.71	159	0.0383272	4	0.00417101	56.9359	0.463009	
5	3	0	11	29	603	920	[586,906,618,936]	-1254.23	1063.29					32	109.933	30	156.842	7301.11	2339.43	4570.53	2060.96	87	0.0759609	2	0.00456621	31.1536	0.554698	
5	3	0	11	30	690	939	[670,924,706,956]	-1202.51	1052.49					33	85.5828	31	201.603	7381.99	2090.83	4669.39	2266.4	133	0.142711	3	0.0053286	47.6256	0.659712	
5	3	0	11	31	247	128	[224,108,271,148]	-1467.11	1539.24					35	170.449	32	346.628	5535.08	1742.79	3325.56	1686.11	19	0.00267265	1	0.00103306	6.80366	0.0548137	
5	3	0	11	32	327	166	[306,132,348,201]	-1418.66	1514.33					37	347.345	34	391.389	7895.37	1713.83	3470.93	1804.84	104	0.012462	7	0.00640439	37.2411	0.26572	
5	3	0	11	33	72	212	[52,192,92,233]	-1571.44	1487.36					38	169.375	35	284.321	7733.7	2074.26	3403.82	1640.26	0	0	0	0	0	0	
