Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	65935749-3351-4568-98c5-2890f5477697
Plate Name	MDAWT2H-2
Measurement	Measurement 1
Evaluation	Evaluation4
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	16	5	746	607	[724,582,761,621]	1414.39	-1975.97					5	149.29	5	139.982	5903.36	2387.21	3386.46	1929.8	20	0.00531586	1	0.00255754	7.16021	0.142875	
5	3	0	16	6	746	899	[729,882,763,917]	1414.97	-2153.11					6	127.094	6	208.362	8579.71	3128.53	5711.12	2506.94	153	0.140422	3	0.00515464	54.7756	0.734299	
5	3	0	16	7	904	977	[889,958,933,993]	1511.84	-2200.12					7	150.722	7	203.35	7321.01	2791.2	4436.58	2102.89	23	0.00775828	1	0.00176056	8.23424	0.113106	
5	3	0	16	8	927	967	[915,958,937,976]	1522.29	-2193.8					8	35.443	8	87.7125	6187.34	2702.88	4473.42	2157.36	54	0.0370197	1	0.00408163	19.3326	0.615648	
5	3	0	16	9	54	1004	[43,992,128,1018]	1016.52	-2215.71					10	135.328	10	399.182	6669.98	2239.74	3409.4	1901.37	136	0.0333014	4	0.00358744	48.6894	0.340697	
5	3	0	16	10	583	87	[561,49,605,112]	1320.03	-1663.44					15	181.511	13	436.057	6950.33	2403.48	3921.76	2125.38	315	0.0397182	7	0.00574713	112.773	0.722383	
5	3	0	16	11	685	124	[666,101,709,151]	1380.1	-1690.3					16	172.919	14	299.655	5324.76	2296.82	2934.59	1848.29	0	0	0	0	0	0	
5	3	0	16	12	163	367	[138,346,195,389]	1067.81	-1834.11					17	149.29	15	494.412	4045.2	2301.86	3689.76	2095.76	238	0.0596999	6	0.00434468	85.2065	0.48138	
5	3	0	16	13	542	451	[519,431,567,479]	1294.73	-1886.85					18	148.574	16	395.601	4676.09	2290.07	2987.66	1879.39	0	0	0	0	0	0	
5	3	0	16	14	695	481	[664,454,725,514]	1383.35	-1904.7					19	321.851	17	583.199	6455.85	2454.1	3999.58	2154.06	410	0.0437999	17	0.0104359	146.784	0.703019	
